Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.74      1.23     0.01  1093405     0.00     0.00  mpfr::enable_if<mpfr::type_traits<mpfr::real<512l, (mpfr_rnd_t)0>, double, true>::enable_assign_op&&mpfr::type_traits<mpfr::real<512l, (mpfr_rnd_t)0>, double, true>::has_set, mpfr::real<512l, (mpfr_rnd_t)0>&>::type mpfr::real<512l, (mpfr_rnd_t)0>::operator=<double>(double const&)
  0.74      1.24     0.01    76778     0.00     0.00  std::list<Triangle*, std::allocator<Triangle*> >::begin()
  0.74      1.25     0.01    63692     0.00     0.00  Triangle::getNumber(Vertex*)
  0.74      1.26     0.01    56409     0.00     0.00  Utils::distanceSQR(Vertex*, Vertex*)
  0.74      1.27     0.01    37442     0.00     0.00  Utils::distanceSQR(mpfr::real<512l, (mpfr_rnd_t)0>&, mpfr::real<512l, (mpfr_rnd_t)0>&, mpfr::real<512l, (mpfr_rnd_t)0>&, mpfr::real<512l, (mpfr_rnd_t)0>&)
  0.74      1.28     0.01    24652     0.00     0.00  Utils::contains(std::list<Triangle*, std::allocator<Triangle*> >&, Triangle*)
  0.74      1.29     0.01    19859     0.00     0.00  std::_List_base<Triangle*, std::allocator<Triangle*> >::_M_clear()
  0.74      1.30     0.01    15192     0.00     0.00  float* std::uninitialized_copy<float*, float*>(float*, float*, float*)
  0.74      1.31     0.01    13562     0.00     0.00  std::_List_base<mpfr::real<512l, (mpfr_rnd_t)0>*, std::allocator<mpfr::real<512l, (mpfr_rnd_t)0>*> >::_M_put_node(std::_List_node<mpfr::real<512l, (mpfr_rnd_t)0>*>*)
  0.74      1.32     0.01     5013     0.00     0.00  Mesh::createTriangle(Vertex*, Vertex*, Vertex*)
  0.74      1.33     0.01     2289     0.00     0.00  Triangle::isInside(mpfr::real<512l, (mpfr_rnd_t)0>&, mpfr::real<512l, (mpfr_rnd_t)0>&)
  0.74      1.34     0.01                             Eigen::Matrix<double, -1, 1, 0, -1, 1>::Matrix<Eigen::internal::solve_retval_base<Eigen::ConjugateGradient<Eigen::SparseMatrix<double, 0, int>, 1, Eigen::DiagonalPreconditioner<double> >, Eigen::Matrix<double, -1, 1, 0, -1, 1> > >(Eigen::ReturnByValue<Eigen::internal::solve_retval_base<Eigen::ConjugateGradient<Eigen::SparseMatrix<double, 0, int>, 1, Eigen::DiagonalPreconditioner<double> >, Eigen::Matrix<double, -1, 1, 0, -1, 1> > > const&)
  0.37      1.34     0.01   129336     0.00     0.00  mpfr::real<512l, (mpfr_rnd_t)0>::real(mpfr::real<512l, (mpfr_rnd_t)0> const&)
  0.37      1.35     0.01    20534     0.00     0.00  mpfr::enable_if<mpfr::type_traits<mpfr::result_type2<mpfr::real<512l, (mpfr_rnd_t)0>, mpfr::real<512l, (mpfr_rnd_t)0>, true>::type, mpfr::real<512l, (mpfr_rnd_t)0>, true>::enable_compar_ops&&mpfr::type_traits<mpfr::result_type2<mpfr::real<512l, (mpfr_rnd_t)0>, mpfr::real<512l, (mpfr_rnd_t)0>, true>::type, mpfr::real<512l, (mpfr_rnd_t)0>, true>::enable_compar_ops, int>::type mpfr::operator< <mpfr::real<512l, (mpfr_rnd_t)0>, mpfr::real<512l, (mpfr_rnd_t)0> >(mpfr::real<512l, (mpfr_rnd_t)0> const&, mpfr::real<512l, (mpfr_rnd_t)0> const&)
  0.37      1.35     0.01       10     0.00     0.00  mpfr::operator<<(std::ostream&, mpfr::real<512l, (mpfr_rnd_t)0> const&)
  0.00      1.35     0.00  4700335     0.00     0.00  std::_List_iterator<Triangle*>::operator*() const
  0.00      1.35     0.00  4153063     0.00     0.00  std::_List_iterator<Triangle*>::_List_iterator(std::__detail::_List_node_base*)
  0.00      1.35     0.00  4076285     0.00     0.00  std::list<Triangle*, std::allocator<Triangle*> >::end()
  0.00      1.35     0.00  2185461     0.00     0.00  mpfr::enable_if<mpfr::type_traits<mpfr::real<512l, (mpfr_rnd_t)0>, mpfr::real<512l, (mpfr_rnd_t)0>, true>::enable_math_funcs, mpfr::real<512l, (mpfr_rnd_t)0> const>::type mpfr::fabs<512l, (mpfr_rnd_t)0>(mpfr::real<512l, (mpfr_rnd_t)0> const&)
  0.00      1.35     0.00  2174880     0.00     0.00  mpfr::enable_if<mpfr::type_traits<mpfr::result_type2<mpfr::real<512l, (mpfr_rnd_t)0>, mpfr::real<512l, (mpfr_rnd_t)0>, true>::type, mpfr::real<512l, (mpfr_rnd_t)0>, true>::enable_compar_ops&&mpfr::type_traits<mpfr::result_type2<mpfr::real<512l, (mpfr_rnd_t)0>, mpfr::real<512l, (mpfr_rnd_t)0>, true>::type, mpfr::real<512l, (mpfr_rnd_t)0>, true>::enable_compar_ops, int>::type mpfr::operator><mpfr::real<512l, (mpfr_rnd_t)0>, mpfr::real<512l, (mpfr_rnd_t)0> >(mpfr::real<512l, (mpfr_rnd_t)0> const&, mpfr::real<512l, (mpfr_rnd_t)0> const&)
  0.00      1.35     0.00  1870440     0.00     0.00  mpfr::real<512l, (mpfr_rnd_t)0>::operator=(mpfr::real<512l, (mpfr_rnd_t)0> const&)
  0.00      1.35     0.00  1421936     0.00     0.00  mpfr::enable_if<mpfr::type_traits<mpfr::result_type2<mpfr::real<512l, (mpfr_rnd_t)0>, mpfr::real<512l, (mpfr_rnd_t)0>, true>::type, mpfr::real<512l, (mpfr_rnd_t)0>, true>::enable_arithm_ops&&mpfr::type_traits<mpfr::result_type2<mpfr::real<512l, (mpfr_rnd_t)0>, mpfr::real<512l, (mpfr_rnd_t)0>, true>::type, mpfr::real<512l, (mpfr_rnd_t)0>, true>::enable_arithm_ops, mpfr::result_type2<mpfr::real<512l, (mpfr_rnd_t)0>, mpfr::real<512l, (mpfr_rnd_t)0>, true>::type const>::type mpfr::operator+<mpfr::real<512l, (mpfr_rnd_t)0>, mpfr::real<512l, (mpfr_rnd_t)0> >(mpfr::real<512l, (mpfr_rnd_t)0> const&, mpfr::real<512l, (mpfr_rnd_t)0> const&)
  0.00      1.35     0.00  1102728     0.00     0.00  mpfr::type_traits<mpfr::real<512l, (mpfr_rnd_t)0>, double, true>::set(__mpfr_struct*, double, mpfr_rnd_t)
  0.00      1.35     0.00  1093192     0.00     0.00  mpfr::enable_if<mpfr::type_traits<mpfr::real<512l, (mpfr_rnd_t)0>, mpfr::real<512l, (mpfr_rnd_t)0>, true>::enable_arithm_ops&&(!mpfr::type_traits<mpfr::real<512l, (mpfr_rnd_t)0>, mpfr::real<512l, (mpfr_rnd_t)0>, true>::has_sub_a), mpfr::real<512l, (mpfr_rnd_t)0>&>::type mpfr::real<512l, (mpfr_rnd_t)0>::operator-=<mpfr::real<512l, (mpfr_rnd_t)0> >(mpfr::real<512l, (mpfr_rnd_t)0> const&)
  0.00      1.35     0.00   688450     0.00     0.00  mpfr::type_traits<mpfr::real<512l, (mpfr_rnd_t)0>, int, true>::set(__mpfr_struct*, int, mpfr_rnd_t)
  0.00      1.35     0.00   664197     0.00     0.00  mpfr::real<512l, (mpfr_rnd_t)0>::real<int>(int const&, mpfr::enable_if<mpfr::type_traits<mpfr::real<512l, (mpfr_rnd_t)0>, int, true>::has_set&&mpfr::type_traits<mpfr::real<512l, (mpfr_rnd_t)0>, int, true>::enable_impl_ctor, void>::type*)
  0.00      1.35     0.00   182295     0.00     0.00  Triangle** std::__addressof<Triangle*>(Triangle*&)
  0.00      1.35     0.00   174670     0.00     0.00  operator new(unsigned long, void*)
  0.00      1.35     0.00   165163     0.00     0.00  __gnu_cxx::new_allocator<Triangle*>::~new_allocator()
  0.00      1.35     0.00   165163     0.00     0.00  std::allocator<Triangle*>::~allocator()
  0.00      1.35     0.00   164576     0.00     0.00  __gnu_cxx::new_allocator<Triangle*>::new_allocator()
  0.00      1.35     0.00   163989     0.00     0.00  std::_List_base<Triangle*, std::allocator<Triangle*> >::_M_get_Node_allocator() const
  0.00      1.35     0.00   163989     0.00     0.00  std::allocator<Triangle*>::allocator<std::_List_node<Triangle*> >(std::allocator<std::_List_node<Triangle*> > const&)
  0.00      1.35     0.00   163988     0.00     0.00  std::_List_base<Triangle*, std::allocator<Triangle*> >::_M_get_Tp_allocator() const
  0.00      1.35     0.00   102651     0.00     0.00  Triangle::hasVertex(Vertex*)
  0.00      1.35     0.00    98184     0.00     0.00  Adjacency** std::__addressof<Adjacency*>(Adjacency*&)
  0.00      1.35     0.00    95790     0.00     0.00  Triangle::getVertex(int)
  0.00      1.35     0.00    89930     0.00     0.00  std::_List_base<Adjacency*, std::allocator<Adjacency*> >::_M_get_Node_allocator() const
  0.00      1.35     0.00    89288     0.00     0.00  __gnu_cxx::new_allocator<Adjacency*>::new_allocator()
  0.00      1.35     0.00    89288     0.00     0.00  __gnu_cxx::new_allocator<Adjacency*>::~new_allocator()
  0.00      1.35     0.00    89288     0.00     0.00  std::_List_base<Adjacency*, std::allocator<Adjacency*> >::_M_get_Tp_allocator() const
  0.00      1.35     0.00    89288     0.00     0.00  std::allocator<Adjacency*>::allocator<std::_List_node<Adjacency*> >(std::allocator<std::_List_node<Adjacency*> > const&)
  0.00      1.35     0.00    89288     0.00     0.00  std::allocator<Adjacency*>::~allocator()
  0.00      1.35     0.00    84712     0.00     0.00  __gnu_cxx::new_allocator<Triangle*>::construct(Triangle**, Triangle* const&)
  0.00      1.35     0.00    84080     0.00     0.00  __gnu_cxx::new_allocator<Triangle*>::destroy(Triangle**)
  0.00      1.35     0.00    81994     0.00     0.00  __gnu_cxx::new_allocator<std::_List_node<Triangle*> >::deallocate(std::_List_node<Triangle*>*, unsigned long)
  0.00      1.35     0.00    81994     0.00     0.00  __gnu_cxx::new_allocator<std::_List_node<Triangle*> >::allocate(unsigned long, void const*)
  0.00      1.35     0.00    81994     0.00     0.00  __gnu_cxx::new_allocator<std::_List_node<Triangle*> >::max_size() const
  0.00      1.35     0.00    81994     0.00     0.00  std::_List_base<Triangle*, std::allocator<Triangle*> >::_M_get_node()
  0.00      1.35     0.00    81994     0.00     0.00  std::_List_base<Triangle*, std::allocator<Triangle*> >::_M_put_node(std::_List_node<Triangle*>*)
  0.00      1.35     0.00    81994     0.00     0.00  std::list<Triangle*, std::allocator<Triangle*> >::_M_create_node(Triangle* const&)
  0.00      1.35     0.00    81994     0.00     0.00  std::list<Triangle*, std::allocator<Triangle*> >::_M_insert(std::_List_iterator<Triangle*>, Triangle* const&)
  0.00      1.35     0.00    81994     0.00     0.00  std::list<Triangle*, std::allocator<Triangle*> >::push_back(Triangle* const&)
  0.00      1.35     0.00    75960     0.00     0.00  std::_Iter_base<float*, false>::_S_base(float*)
  0.00      1.35     0.00    69557     0.00     0.00  mpfr::enable_if<mpfr::type_traits<mpfr::result_type2<mpfr::real<512l, (mpfr_rnd_t)0>, mpfr::real<512l, (mpfr_rnd_t)0>, true>::type, mpfr::real<512l, (mpfr_rnd_t)0>, true>::enable_arithm_ops&&mpfr::type_traits<mpfr::result_type2<mpfr::real<512l, (mpfr_rnd_t)0>, mpfr::real<512l, (mpfr_rnd_t)0>, true>::type, mpfr::real<512l, (mpfr_rnd_t)0>, true>::enable_arithm_ops, mpfr::result_type2<mpfr::real<512l, (mpfr_rnd_t)0>, mpfr::real<512l, (mpfr_rnd_t)0>, true>::type const>::type mpfr::operator/<mpfr::real<512l, (mpfr_rnd_t)0>, mpfr::real<512l, (mpfr_rnd_t)0> >(mpfr::real<512l, (mpfr_rnd_t)0> const&, mpfr::real<512l, (mpfr_rnd_t)0> const&)
  0.00      1.35     0.00    68286     0.00     0.00  Triangle::getNeighbor(int)
  0.00      1.35     0.00    67488     0.00     0.00  mpfr::type_traits<mpfr::real<512l, (mpfr_rnd_t)0>, double, true>::div_a(__mpfr_struct*, __mpfr_struct const*, double, mpfr_rnd_t)
  0.00      1.35     0.00    67488     0.00     0.00  mpfr::enable_if<mpfr::type_traits<mpfr::real<512l, (mpfr_rnd_t)0>, double, true>::enable_arithm_ops&&mpfr::type_traits<mpfr::real<512l, (mpfr_rnd_t)0>, double, true>::has_div_a, mpfr::real<512l, (mpfr_rnd_t)0> const>::type mpfr::operator/<double>(mpfr::real<512l, (mpfr_rnd_t)0> const&, double const&)
  0.00      1.35     0.00    56009     0.00     0.00  mpfr::enable_if<mpfr::type_traits<mpfr::real<512l, (mpfr_rnd_t)0>, mpfr::real<512l, (mpfr_rnd_t)0>, true>::enable_math_funcs, mpfr::real<512l, (mpfr_rnd_t)0> const>::type mpfr::sqrt<512l, (mpfr_rnd_t)0>(mpfr::real<512l, (mpfr_rnd_t)0> const&)
  0.00      1.35     0.00    55704     0.00     0.00  __gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > >::base() const
  0.00      1.35     0.00    52251     0.00     0.00  std::_List_iterator<mpfr::real<512l, (mpfr_rnd_t)0>*>::_List_iterator(std::__detail::_List_node_base*)
  0.00      1.35     0.00    47625     0.00     0.00  std::list<mpfr::real<512l, (mpfr_rnd_t)0>*, std::allocator<mpfr::real<512l, (mpfr_rnd_t)0>*> >::end()
  0.00      1.35     0.00    46731     0.00     0.00  Utils::distanceSQR(mpfr::real<512l, (mpfr_rnd_t)0>&, mpfr::real<512l, (mpfr_rnd_t)0>&, Vertex*)
  0.00      1.35     0.00    45576     0.00     0.00  std::_Niter_base<float*>::iterator_type std::__niter_base<float*>(float*)
  0.00      1.35     0.00    44644     0.00     0.00  __gnu_cxx::new_allocator<Adjacency*>::destroy(Adjacency**)
  0.00      1.35     0.00    44644     0.00     0.00  __gnu_cxx::new_allocator<Adjacency*>::construct(Adjacency**, Adjacency* const&)
  0.00      1.35     0.00    44644     0.00     0.00  __gnu_cxx::new_allocator<std::_List_node<Adjacency*> >::deallocate(std::_List_node<Adjacency*>*, unsigned long)
  0.00      1.35     0.00    44644     0.00     0.00  __gnu_cxx::new_allocator<std::_List_node<Adjacency*> >::allocate(unsigned long, void const*)
  0.00      1.35     0.00    44644     0.00     0.00  __gnu_cxx::new_allocator<std::_List_node<Adjacency*> >::max_size() const
  0.00      1.35     0.00    44644     0.00     0.00  std::_List_base<Adjacency*, std::allocator<Adjacency*> >::_M_get_node()
  0.00      1.35     0.00    44644     0.00     0.00  std::_List_base<Adjacency*, std::allocator<Adjacency*> >::_M_put_node(std::_List_node<Adjacency*>*)
  0.00      1.35     0.00    44644     0.00     0.00  std::list<Adjacency*, std::allocator<Adjacency*> >::_M_create_node(Adjacency* const&)
  0.00      1.35     0.00    44644     0.00     0.00  std::list<Adjacency*, std::allocator<Adjacency*> >::_M_insert(std::_List_iterator<Adjacency*>, Adjacency* const&)
  0.00      1.35     0.00    44644     0.00     0.00  std::list<Adjacency*, std::allocator<Adjacency*> >::push_back(Adjacency* const&)
  0.00      1.35     0.00    42881     0.00     0.00  Vertex::getAdjacency(Vertex*)
  0.00      1.35     0.00    42610     0.00     0.00  std::list<Adjacency*, std::allocator<Adjacency*> >::_M_erase(std::_List_iterator<Adjacency*>)
  0.00      1.35     0.00    42602     0.00     0.00  Adjacency::getTriangle(int)
  0.00      1.35     0.00    40977     0.00     0.00  mpfr::enable_if<mpfr::type_traits<mpfr::result_type2<mpfr::real<512l, (mpfr_rnd_t)0>, int, true>::type, mpfr::real<512l, (mpfr_rnd_t)0>, true>::enable_compar_ops&&mpfr::type_traits<mpfr::result_type2<mpfr::real<512l, (mpfr_rnd_t)0>, int, true>::type, int, true>::enable_compar_ops, int>::type mpfr::operator< <mpfr::real<512l, (mpfr_rnd_t)0>, int>(mpfr::real<512l, (mpfr_rnd_t)0> const&, int const&)
  0.00      1.35     0.00    40512     0.00     0.00  __gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > >::__normal_iterator(float* const&)
  0.00      1.35     0.00    39913     0.00     0.00  std::_List_const_iterator<Adjacency*>::operator!=(std::_List_const_iterator<Adjacency*> const&) const
  0.00      1.35     0.00    39472     0.00     0.00  std::list<Adjacency*, std::allocator<Adjacency*> >::empty() const
  0.00      1.35     0.00    38413     0.00     0.00  std::_List_const_iterator<Adjacency*>::operator++()
  0.00      1.35     0.00    36117     0.00     0.00  Utils::distance(Vertex*, Vertex*)
  0.00      1.35     0.00    36035     0.00     0.00  std::list<Adjacency*, std::allocator<Adjacency*> >::front()
  0.00      1.35     0.00    33714     0.00     0.00  Mesh::isEncroached(mpfr::real<512l, (mpfr_rnd_t)0>&, mpfr::real<512l, (mpfr_rnd_t)0>&, Adjacency*)
  0.00      1.35     0.00    33714     0.00     0.00  std::list<Adjacency*, std::allocator<Adjacency*> >::pop_front()
  0.00      1.35     0.00    33560     0.00     0.00  std::_List_const_iterator<Adjacency*>::operator*() const
  0.00      1.35     0.00    33143     0.00     0.00  std::_List_iterator<Triangle*>::operator++(int)
  0.00      1.35     0.00    31750     0.00     0.00  std::_List_iterator<mpfr::real<512l, (mpfr_rnd_t)0>*>::operator!=(std::_List_iterator<mpfr::real<512l, (mpfr_rnd_t)0>*> const&) const
  0.00      1.35     0.00    31650     0.00     0.00  std::vector<float, std::allocator<float> >::end()
  0.00      1.35     0.00    31196     0.00     0.00  mpfr::enable_if<mpfr::type_traits<mpfr::result_type2<mpfr::real<512l, (mpfr_rnd_t)0>, mpfr::real<512l, (mpfr_rnd_t)0>, true>::type, mpfr::real<512l, (mpfr_rnd_t)0>, true>::enable_compar_ops&&mpfr::type_traits<mpfr::result_type2<mpfr::real<512l, (mpfr_rnd_t)0>, mpfr::real<512l, (mpfr_rnd_t)0>, true>::type, mpfr::real<512l, (mpfr_rnd_t)0>, true>::enable_compar_ops, int>::type mpfr::operator<=<mpfr::real<512l, (mpfr_rnd_t)0>, mpfr::real<512l, (mpfr_rnd_t)0> >(mpfr::real<512l, (mpfr_rnd_t)0> const&, mpfr::real<512l, (mpfr_rnd_t)0> const&)
  0.00      1.35     0.00    30384     0.00     0.00  std::vector<float, std::allocator<float> >::size() const
  0.00      1.35     0.00    30384     0.00     0.00  std::_Miter_base<float*>::iterator_type std::__miter_base<float*>(float*)
  0.00      1.35     0.00    29437     0.00     0.00  std::_List_iterator<mpfr::real<512l, (mpfr_rnd_t)0>*>::operator*() const
  0.00      1.35     0.00    27124     0.00     0.00  __gnu_cxx::new_allocator<mpfr::real<512l, (mpfr_rnd_t)0>*>::new_allocator()
  0.00      1.35     0.00    27124     0.00     0.00  __gnu_cxx::new_allocator<mpfr::real<512l, (mpfr_rnd_t)0>*>::~new_allocator()
  0.00      1.35     0.00    27124     0.00     0.00  std::_List_base<mpfr::real<512l, (mpfr_rnd_t)0>*, std::allocator<mpfr::real<512l, (mpfr_rnd_t)0>*> >::_M_get_Tp_allocator() const
  0.00      1.35     0.00    27124     0.00     0.00  std::_List_base<mpfr::real<512l, (mpfr_rnd_t)0>*, std::allocator<mpfr::real<512l, (mpfr_rnd_t)0>*> >::_M_get_Node_allocator() const
  0.00      1.35     0.00    27124     0.00     0.00  std::allocator<mpfr::real<512l, (mpfr_rnd_t)0>*>::allocator<std::_List_node<mpfr::real<512l, (mpfr_rnd_t)0>*> >(std::allocator<std::_List_node<mpfr::real<512l, (mpfr_rnd_t)0>*> > const&)
  0.00      1.35     0.00    27124     0.00     0.00  std::allocator<mpfr::real<512l, (mpfr_rnd_t)0>*>::~allocator()
  0.00      1.35     0.00    27124     0.00     0.00  std::_List_iterator<mpfr::real<512l, (mpfr_rnd_t)0>*>::operator++(int)
  0.00      1.35     0.00    27124     0.00     0.00  mpfr::real<512l, (mpfr_rnd_t)0>** std::__addressof<mpfr::real<512l, (mpfr_rnd_t)0>*>(mpfr::real<512l, (mpfr_rnd_t)0>*&)
  0.00      1.35     0.00    26239     0.00     0.00  std::list<Triangle*, std::allocator<Triangle*> >::remove(Triangle* const&)
  0.00      1.35     0.00    24253     0.00     0.00  mpfr::enable_if<mpfr::type_traits<mpfr::real<512l, (mpfr_rnd_t)0>, int, true>::enable_assign_op&&mpfr::type_traits<mpfr::real<512l, (mpfr_rnd_t)0>, int, true>::has_set, mpfr::real<512l, (mpfr_rnd_t)0>&>::type mpfr::real<512l, (mpfr_rnd_t)0>::operator=<int>(int const&)
  0.00      1.35     0.00    24054     0.00     0.00  bool __gnu_cxx::operator!=<float const*, float*, std::vector<float, std::allocator<float> > >(__gnu_cxx::__normal_iterator<float const*, std::vector<float, std::allocator<float> > > const&, __gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > > const&)
  0.00      1.35     0.00    24054     0.00     0.00  __gnu_cxx::__normal_iterator<float const*, std::vector<float, std::allocator<float> > >::base() const
  0.00      1.35     0.00    24054     0.00     0.00  std::_Vector_base<float, std::allocator<float> >::_M_get_Tp_allocator()
  0.00      1.35     0.00    22788     0.00     0.00  __gnu_cxx::new_allocator<float>::construct(float*, float const&)
  0.00      1.35     0.00    22788     0.00     0.00  void __gnu_cxx::__alloc_traits<std::allocator<float> >::construct<float>(std::allocator<float>&, float*, float const&)
  0.00      1.35     0.00    22788     0.00     0.00  __gnu_cxx::__normal_iterator<float const*, std::vector<float, std::allocator<float> > >::operator++()
  0.00      1.35     0.00    22788     0.00     0.00  __gnu_cxx::new_allocator<float>::max_size() const
  0.00      1.35     0.00    22788     0.00     0.00  __gnu_cxx::__normal_iterator<float const*, std::vector<float, std::allocator<float> > >::operator*() const
  0.00      1.35     0.00    22788     0.00     0.00  std::vector<float, std::allocator<float> >::push_back(float const&)
  0.00      1.35     0.00    22440     0.00     0.00  Triangle::setNeighbor(Triangle*)
  0.00      1.35     0.00    22295     0.00     0.00  mpfr::type_traits<mpfr::real<512l, (mpfr_rnd_t)0>, float, true>::get_a(__mpfr_struct const*, mpfr_rnd_t)
  0.00      1.35     0.00    22295     0.00     0.00  mpfr::enable_if<mpfr::type_traits<mpfr::real<512l, (mpfr_rnd_t)0>, float, true>::enable_conv_func&&mpfr::type_traits<mpfr::real<512l, (mpfr_rnd_t)0>, float, true>::has_get_a, void>::type mpfr::real<512l, (mpfr_rnd_t)0>::conv<float>(float&) const
  0.00      1.35     0.00    22262     0.00     0.00  __gnu_cxx::new_allocator<std::_List_node<Vertex*> >::new_allocator()
  0.00      1.35     0.00    22262     0.00     0.00  __gnu_cxx::new_allocator<std::_List_node<Vertex*> >::~new_allocator()
  0.00      1.35     0.00    22262     0.00     0.00  std::allocator<std::_List_node<Vertex*> >::allocator()
  0.00      1.35     0.00    22262     0.00     0.00  std::allocator<std::_List_node<Vertex*> >::~allocator()
  0.00      1.35     0.00    22262     0.00     0.00  std::_List_base<Vertex*, std::allocator<Vertex*> >::_List_impl::_List_impl()
  0.00      1.35     0.00    22262     0.00     0.00  std::_List_base<Vertex*, std::allocator<Vertex*> >::_List_impl::~_List_impl()
  0.00      1.35     0.00    22262     0.00     0.00  std::_List_base<Vertex*, std::allocator<Vertex*> >::_M_init()
  0.00      1.35     0.00    22262     0.00     0.00  std::_List_base<Vertex*, std::allocator<Vertex*> >::_M_clear()
  0.00      1.35     0.00    22262     0.00     0.00  std::_List_base<Vertex*, std::allocator<Vertex*> >::_List_base()
  0.00      1.35     0.00    22262     0.00     0.00  std::_List_base<Vertex*, std::allocator<Vertex*> >::~_List_base()
  0.00      1.35     0.00    22262     0.00     0.00  std::list<Vertex*, std::allocator<Vertex*> >::list()
  0.00      1.35     0.00    22262     0.00     0.00  std::list<Vertex*, std::allocator<Vertex*> >::~list()
  0.00      1.35     0.00    20459     0.00     0.00  std::list<Triangle*, std::allocator<Triangle*> >::_M_erase(std::_List_iterator<Triangle*>)
  0.00      1.35     0.00    19859     0.00     0.00  std::_List_base<Triangle*, std::allocator<Triangle*> >::_M_init()
  0.00      1.35     0.00    19127     0.00     0.00  mpfr::type_traits<mpfr::real<512l, (mpfr_rnd_t)0>, int, true>::mul(__mpfr_struct*, __mpfr_struct const*, int, mpfr_rnd_t)
